Macrotrends Data Download

S&amp;P 500 Earnings - 90 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value,eps
1927-12-01,17.66,1.11
1928-01-01,17.57,1.18
1928-02-01,17.26,1.18
1928-03-01,19.28,1.18
1928-04-01,19.75,1.25
1928-05-01,20.00,1.25
1928-06-01,19.14,1.25
1928-07-01,19.43,1.31
1928-08-01,20.87,1.31
1928-09-01,21.14,1.31
1928-10-01,21.68,1.38
1928-11-01,24.28,1.38
1928-12-01,24.35,1.38
1929-01-01,25.74,1.44
1929-02-01,25.59,1.44
1929-03-01,25.53,1.44
1929-04-01,25.94,1.50
1929-05-01,24.83,1.50
1929-06-01,27.41,1.50
1929-07-01,28.88,1.55
1929-08-01,31.71,1.55
1929-09-01,30.16,1.55
1929-10-01,24.15,1.61
1929-11-01,20.92,1.61
1929-12-01,21.45,1.61
1930-01-01,22.79,1.45
1930-02-01,23.28,1.45
1930-03-01,24.15,1.45
1930-04-01,24.90,1.29
1930-05-01,24.49,1.29
1930-06-01,20.46,1.29
1930-07-01,21.21,1.13
1930-08-01,21.37,1.13
1930-09-01,18.59,1.13
1930-10-01,16.94,0.97
1930-11-01,16.57,0.97
1930-12-01,15.34,0.97
1931-01-01,16.09,0.88
1931-02-01,17.93,0.88
1931-03-01,16.69,0.88
1931-04-01,15.09,0.79
1931-05-01,13.02,0.79
1931-06-01,14.83,0.79
1931-07-01,13.73,0.70
1931-08-01,13.86,0.70
1931-09-01,9.71,0.70
1931-10-01,10.53,0.61
1931-11-01,9.50,0.61
1931-12-01,8.12,0.61
1932-01-01,7.89,0.56
1932-02-01,8.29,0.56
1932-03-01,7.31,0.56
1932-04-01,5.83,0.51
1932-05-01,4.47,0.51
1932-06-01,4.43,0.51
1932-07-01,6.10,0.46
1932-08-01,8.39,0.46
1932-09-01,8.08,0.46
1932-10-01,6.96,0.41
1932-11-01,6.55,0.41
1932-12-01,6.89,0.41
1933-01-01,6.94,0.42
1933-02-01,5.66,0.42
1933-03-01,5.85,0.42
1933-04-01,8.32,0.43
1933-05-01,9.64,0.43
1933-06-01,10.91,0.43
1933-07-01,9.95,0.43
1933-08-01,11.09,0.43
